# of Attributes,Train_vars,KNN,Mean_Acc,Reduction,Accuracy,Precision,Recall,Class_labels,Algorithm,Metric
24,"['As', 'Lu', 'Sm', 'U', 'Yb', 'Co', 'Cr', 'Cs', 'Eu', 'Fe', 'Ni', 'Rb', 'Sc', 'Sr', 'Tb', 'Th', 'Zn', 'Al', 'Ca', 'Dy', 'K', 'Mn', 'Na', 'Ti']",3,0.9955555555555555,NCA,0.9955555555555555,0.9953841297591297,0.9938301282051282,[0 1],auto,manhattan
23,"['As', 'Lu', 'Sm', 'U', 'Co', 'Cr', 'Cs', 'Eu', 'Fe', 'Ni', 'Rb', 'Sc', 'Sr', 'Tb', 'Th', 'Zn', 'Al', 'Ca', 'Dy', 'K', 'Mn', 'Na', 'Ti']",3,0.9977777777777778,NCA,0.9977777777777778,0.9977994227994228,0.9969150641025641,[0 1],auto,manhattan
22,"['As', 'Lu', 'Sm', 'U', 'Co', 'Cr', 'Cs', 'Eu', 'Fe', 'Ni', 'Rb', 'Sc', 'Sr', 'Tb', 'Th', 'Zn', 'Al', 'Ca', 'Dy', 'K', 'Na', 'Ti']",2,0.9977777777777778,NCA,0.9977777777777778,0.9977994227994228,0.9969150641025641,[0 1],auto,manhattan
21,"['As', 'Lu', 'Sm', 'U', 'Cr', 'Cs', 'Eu', 'Fe', 'Ni', 'Rb', 'Sc', 'Sr', 'Tb', 'Th', 'Zn', 'Al', 'Ca', 'Dy', 'K', 'Na', 'Ti']",2,0.9977777777777778,NCA,0.9977777777777778,0.9977994227994228,0.996915064102564,[0 1],auto,manhattan
20,"['As', 'Lu', 'Sm', 'U', 'Cr', 'Cs', 'Eu', 'Ni', 'Rb', 'Sc', 'Sr', 'Tb', 'Th', 'Zn', 'Al', 'Ca', 'Dy', 'K', 'Na', 'Ti']",3,0.9977777777777778,NCA,0.9977777777777778,0.9985714285714286,0.9961538461538463,[0 1],auto,manhattan
19,"['As', 'Lu', 'Sm', 'U', 'Cr', 'Cs', 'Eu', 'Ni', 'Rb', 'Sc', 'Tb', 'Th', 'Zn', 'Al', 'Ca', 'Dy', 'K', 'Na', 'Ti']",2,0.9985185185185185,NCA,0.9985185185185185,0.9983044733044734,0.9981971153846153,[0 1],auto,manhattan
18,"['As', 'Lu', 'Sm', 'U', 'Cr', 'Cs', 'Eu', 'Ni', 'Rb', 'Sc', 'Tb', 'Th', 'Zn', 'Al', 'Ca', 'Dy', 'K', 'Ti']",3,0.9992592592592593,NCA,0.9992592592592593,0.9994949494949494,0.9987179487179486,[0 1],auto,manhattan
17,"['As', 'Lu', 'Sm', 'U', 'Cr', 'Cs', 'Eu', 'Ni', 'Rb', 'Sc', 'Tb', 'Th', 'Al', 'Ca', 'Dy', 'K', 'Ti']",2,0.9992592592592593,NCA,0.9992592592592593,0.9994949494949494,0.9987179487179486,[0 1],auto,manhattan
16,"['As', 'Lu', 'Sm', 'U', 'Cr', 'Cs', 'Eu', 'Ni', 'Rb', 'Sc', 'Th', 'Al', 'Ca', 'Dy', 'K', 'Ti']",4,0.9992592592592593,NCA,0.9992592592592593,0.9994949494949494,0.9987179487179486,[0 1],auto,manhattan
15,"['As', 'Lu', 'Sm', 'U', 'Cr', 'Cs', 'Eu', 'Ni', 'Rb', 'Sc', 'Th', 'Al', 'Ca', 'Dy', 'Ti']",3,0.9992592592592593,NCA,0.9992592592592593,0.9988095238095238,0.9994791666666667,[0 1],auto,manhattan
14,"['As', 'Lu', 'Sm', 'U', 'Cr', 'Cs', 'Eu', 'Ni', 'Sc', 'Th', 'Al', 'Ca', 'Dy', 'Ti']",3,0.9992592592592593,NCA,0.9992592592592593,0.9994949494949494,0.9987179487179486,[0 1],auto,manhattan
13,"['As', 'Lu', 'Sm', 'U', 'Cr', 'Eu', 'Ni', 'Sc', 'Th', 'Al', 'Ca', 'Dy', 'Ti']",2,1.0,NCA,1.0,1.0,1.0,[0 1],auto,manhattan
12,"['As', 'Lu', 'Sm', 'U', 'Cr', 'Eu', 'Ni', 'Sc', 'Th', 'Al', 'Ca', 'Ti']",2,1.0,NCA,1.0,1.0,1.0,[0 1],auto,manhattan
