ANID,Ware,Country,Province,Site_Name,Ceramic Type,As,La,Lu,Nd,Sm,U,Yb,Ce,Co,Cr,Cs,Eu,Fe,Hf,Ni,Rb,Sb,Sc,Sr,Ta,Tb,Th,Zn,Zr,Al,Ba,Ca,Dy,K,Mn,Na,Ti,V,,,
 PCD1398,Redwares,Belize,Cayo,Tipu,Paxcamán Red,6.3635,14.5451,0.2301,13.0239,2.9934,1.9225,1.5005,28.1644,3.5592,22.94,0.2364,0.6153,16903.5,2.9731,0,8.74,0.6031,6.8326,618.92,0.4555,0.3748,5.8349,51.8,85.2,52033.9,447.1,242539.7,2.365,3989.5,163.72,385.2,3397.4,50.98,,,
 *PCD1405,Redwares,Belize,Cayo,Tipu,Paxcamán Red,7.3545,15.1378,0.2633,12.8959,3.231,2.0284,1.7397,32.4241,5.434,27.755,0.2249,0.6767,21105.8,3.7936,19.85,10.52,0.6909,8.0571,352.74,0.5366,0.4682,7.0176,42.07,88.31,60023.9,359.5,227932.5,2.3958,5570.9,325.15,576.8,3100.7,76.11,,,
 PCD1406,Redwares,Belize,Cayo,Tipu,Paxcamán Red,6.27,17.033,0.268,14.5419,3.3819,2.0605,1.7713,31.513,4.9242,26.09,0.2803,0.6953,20163.6,3.3842,0,7.65,0.6836,7.9664,583.42,0.54,0.4905,6.6175,49.17,89.28,59660,439.3,249764.4,3.0315,3217.1,222.07,921.3,3275.4,71.34,,,
 PCD1407,Redwares,Belize,Cayo,Tipu,Paxcamán Red,5.4798,14.8524,0.2461,14.4963,3.0434,1.6273,1.6176,29.4466,4.0505,25.722,0.2785,0.6201,18889.4,3.3834,0,8.39,0.6409,7.4674,507.74,0.4901,0.4507,6.4021,57.21,70.61,56252.4,437.2,231794.3,2.3515,3364,191.37,676.2,2963,55.5,,,
 PCD1423,Redwares,Belize,Cayo,Tipu,Paxcamán Red,7.7935,17.1066,0.2569,15.277,3.5125,2.1383,1.7627,32.7793,4.7887,25.435,0.3055,0.7462,21481,3.4735,0,6.94,0.7539,7.9519,507.66,0.5124,0.4918,6.4552,56.69,92.87,58912.7,513.8,229443.8,2.6876,1820.8,220.43,855.1,3277.6,59.19,,,
 PCD1425,Redwares,Belize,Cayo,Tipu,Paxcamán Red,5.3189,16.3301,0.2564,15.5476,3.3355,1.6014,1.7838,31.7379,4.615,25.983,0.3509,0.6972,19039.4,3.2368,25.72,6.7,0.6289,7.7041,620.43,0.5034,0.4675,6.4848,62.94,71.1,56397.1,429,233700.9,2.6607,2290.4,225.78,903.3,3606.6,61.14,,,
 PCD1431,Redwares,Belize,Cayo,Tipu,Paxcamán Red,4.963,16.8202,0.2634,15.014,3.3953,1.8632,1.8299,30.6313,4.6978,22.849,0.1938,0.7263,19910,3.2024,18.46,3.96,0.675,7.8416,522.79,0.5276,0.4866,6.3042,59.25,79.05,59762,480.9,243144.4,2.9968,1962.2,146.07,499.1,3378.4,49.44,,,
 PCD1440,Redwares,Belize,Cayo,Tipu,Paxcamán Red,5.6665,18.4185,0.2783,18.0122,3.8538,2.1197,1.9562,34.6083,5.4943,31.249,0.3064,0.8108,23274.2,3.6857,0,3.74,0.7698,8.5687,493.78,0.6163,0.5693,7.3433,47.27,75.18,67663.3,485.6,225128.7,3.2192,3368.2,224.04,795.5,3335.9,58.4,,,
 PCD1445,Redwares,Belize,Cayo,Tipu,Paxcamán Red,4.763,13.3538,0.2158,13.0801,2.698,1.6476,1.3404,26.346,3.3208,20.2513,0.3036,0.5732,15845.5,2.7447,0,7.91,0.48,6.7267,659.84,0.3958,0.408,5.4363,47.86,63.85,48240.9,428.2,277493.8,2.2265,3092.8,169.79,445.3,2741.2,51.61,,,
 PCD1455,Redwares,Belize,Cayo,Tipu,Paxcamán Red,6.8985,23.0438,0.3222,23.2891,4.5593,2.6,2.252,50.5876,5.7979,35.4448,0.3722,0.9497,25602.7,4.4393,0,4.49,0.8409,9.3438,561.72,0.6556,0.6389,9.1543,56.09,116.59,68791.8,508.7,220924.2,3.4741,2976,315.6,778.7,4401.7,59.94,,,
 PCD1456,Redwares,Belize,Cayo,Tipu,Paxcamán Red,5.0327,23.1961,0.3285,20.0716,4.6036,2.3139,2.4325,50.2619,6.3583,32.554,0.7486,0.9696,21580.7,4.8141,0,12.98,0.7662,7.6745,119.54,0.5338,0.6726,8.062,52.08,111.41,57185.6,362.8,236580.5,3.9339,6066.9,278.71,1573.7,2992.6,60.2,,,
 PCD1458,Redwares,Belize,Cayo,Tipu,Paxcamán Red,9.0967,17.0198,0.2413,16.7687,3.526,2.0478,1.7306,33.7964,4.7707,23.3251,0.2462,0.7666,21812.2,3.4381,0,8.86,0.7417,7.8706,527.51,0.5005,0.4729,6.3187,48.96,89.6,26917.7,275.3,109801.4,1.295,1475.7,123.61,209.4,2101.8,22.78,,,
 *PCD1462,Redwares,Belize,Cayo,Tipu,Paxcamán Red,7.304,16.6045,0.2582,15.113,3.4466,1.8097,1.7171,37.26,5.4346,25.1079,0.2774,0.7257,19028.7,3.0851,0,10.72,0.6275,7.357,542.26,0.4751,0.6326,6.0297,54.8,76.07,53620.1,464.6,249546.6,2.5334,2789,283.66,407.8,3006.1,55.59,,,
 PCD1463,Redwares,Belize,Cayo,Tipu,Paxcamán Red,6.8145,17.9707,0.249,15.3191,3.7436,2.2241,2.0472,35.2275,5.0636,25.3535,0.1655,0.8081,20813.9,3.259,0,10.63,0.667,7.9567,573.91,0.4949,0.5675,6.6018,73.75,91.22,60466.2,514.2,240176.8,3.0167,3594.4,360.79,430.4,3356.4,47.49,,,
 PCD1471,Redwares,Belize,Cayo,Tipu,Paxcamán Red,6.5434,16.1504,0.2579,13.9295,3.2895,2.0025,1.7438,29.8329,4.3483,26.3404,0.3838,0.6863,20323.9,3.2687,0,3.89,0.6327,7.8273,550.46,0.5295,0.4851,6.6009,54.55,106.15,58585.5,466.5,235600.8,2.9576,3052.1,207.14,782.8,3252.7,55.9,,,
 PCD1479,Redwares,Belize,Cayo,Tipu,Paxcamán Red,5.7373,21.8023,0.3432,20.9831,4.7862,2.8237,2.6531,41.6731,6.2207,41.4693,0.5158,1.0236,25689.4,4.4575,0,7.65,0.7416,11.2195,481.33,0.6178,0.7291,9.171,71.41,113.55,71102.4,744.7,194467.1,3.916,4257.1,373.08,1297.3,3930.2,61.15,,,
 PCD1492,Redwares,Belize,Cayo,Tipu,Paxcamán Red,7.8534,19.8985,0.3227,19.094,4.1624,2.4083,1.9641,37.772,5.1125,30.1028,0.2333,0.8515,23139.2,3.8546,0,7.66,0.7008,9.0193,535.81,0.5926,0.5254,7.9477,58.53,109.04,63423.7,430.6,222008.6,3.103,7409.1,149.6,656.9,4205.8,49.98,,,
 PCD1493,Redwares,Belize,Cayo,Tipu,Paxcamán Red,10.4545,19.4414,0.3073,18.6535,4.1209,2.2955,2.0134,39.2202,5.3163,31.6525,0.2048,0.8532,24891.1,4.0269,0,4.61,0.678,8.9126,450.51,0.5573,0.535,7.6176,55.7,96.18,62105.4,553.6,225429.5,3.0166,4251.8,210.31,653.6,3345.1,46.98,,,
 PCD1494,Redwares,Belize,Cayo,Tipu,Paxcamán Red,6.2562,16.45,0.2719,15.0396,3.4936,1.9905,1.8097,33.9278,3.9408,30.3616,0.2707,0.7024,20622.4,3.7035,0,5.23,0.665,8.0546,546.5,0.5323,0.4419,7.2352,46.95,96.87,57409.1,535.1,242362.5,2.4516,4424.6,153.91,467.1,3802,73.41,,,
 PCD1499,Redwares,Belize,Cayo,Tipu,Paxcamán Red,8.5718,22.4465,0.3598,21.8115,4.7715,2.4427,2.5459,46.3113,6.574,35.1824,0.3595,0.988,26119.9,4.3316,31.31,10.2,0.7826,9.9116,507.79,0.6556,0.6408,8.5999,61.4,106.51,71443.4,545,204835.4,3.571,4701.4,238.68,625,3739.8,64.58,,,
 PCD1504,Redwares,Belize,Cayo,Tipu,Paxcamán Red,6.1028,18.1949,0.3008,16.8511,3.8872,2.369,1.9628,37.4703,4.8014,32.0714,0.3209,0.7702,23487.2,4.1094,0,8.1,0.8555,8.9191,519.92,0.5839,0.4597,8.2553,58.19,106.98,63442.8,438.8,225141.7,2.7993,4452.8,160.25,648.3,3153.6,75.38,,,
 PCD1508,Redwares,Belize,Cayo,Tipu,Paxcamán Red,7.0095,19.533,0.2958,20.814,4.0595,2.3007,2.2131,37.6166,4.9553,27.5987,0.2629,0.8143,23206,3.7777,18.53,6.84,0.7331,0.7331,8.9065,563.66,0.5728,7.81,53.06,100.27,61383.7,575.3,235538.6,2.704,4074.7,257.63,481.1,2967.7,63.96,,,
 PCD1510,Redwares,Belize,Cayo,Tipu,Paxcamán Red,6.0392,17.0886,0.2806,15.2879,3.6307,2.0425,1.9195,35.5781,4.509,27.3773,0.2723,0.7282,20545,3.6404,20.45,4.32,0.7195,8.0267,558.27,0.5312,0.4424,7.1039,44.01,94.78,55342.2,437.4,265514.5,2.3842,2597.2,179.06,423.2,3185.2,57.05,,,
 PCD1513,Redwares,Belize,Cayo,Tipu,Paxcamán Red,5.7934,20.0739,0.2993,20.4214,4.218,2.3524,2.1627,38.8134,5.1026,29.8483,0.3033,0.8398,22289,3.9649,15.87,7.86,0.7386,8.552,574.01,0.5892,0.5003,7.7594,53.4,107.93,59498.2,483,235975.5,3.0125,3720.6,178.81,770.3,3257.5,73.95,,,
 PCD1514,Redwares,Belize,Cayo,Tipu,Paxcamán Red,8.4599,22.5713,0.3901,21.9101,4.8655,2.1852,2.3655,46.7681,6.3658,36.2257,0.3102,0.9765,26368.1,4.3951,22.52,7.37,0.8785,10.1129,517.2,0.6846,0.5962,8.7727,52.41,113.89,72239.4,505.9,207335.3,3.5319,4535,191.16,626.7,3643.2,76.68,,,
 PCD1529,Redwares,Belize,Cayo,Tipu,Paxcamán Red,8.3215,22.7497,0.38,20.822,4.882,2.6932,2.3986,46.2176,6.7543,33.9716,0.34,1.0015,26779.3,4.3984,28.8,6.2,0.9074,10.2092,479.64,0.6684,0.7706,8.7721,66.36,108.39,74340.2,485.7,197405.1,3.645,4299.6,222.5,594.8,3781,70.39,,,
 PCD1531,Redwares,Belize,Cayo,Tipu,Paxcamán Red,5.96,15.644,0.2578,15.7633,3.3792,2.2258,1.945,31.8314,4.436,26.3435,0.3625,0.6616,18435.1,3.3285,0,6.6,0.6311,7.3509,603.3,0.4976,0.4006,6.5564,46.38,85.02,54801.6,327,251798.8,2.401,3384.8,351.35,560.6,3047.9,50,,,
